"ID","Nimi","Namn","Name","Osoite","Adress","Kaupunki","Stad","Kapasiteet","x","y"
"284","Myllypuro (M)","Kvarnbäcken (M)","Myllypuro (M)","Kivensilmänkuja 1","Kvarnögsgränden 1","Helsinki","Helsingfors",28,25.0753901685843,60.2240882550803
"285","Orpaanporras","Lättan","Orpaanporras","Orpaanporras 14","Lättan 14","Helsinki","Helsingfors",14,25.0654178214231,60.22354882948
"286","Mamsellimyllynkatu","Mamsellskvarnsgatan","Mamsellimyllynkatu","Mamsellimyllynkatu 26","Mamsellkvarnsgatan 26","Helsinki","Helsingfors",16,25.0591030723076,60.2182457763173
"290","Vallilan varikko","Vallgårds depå","Vallilan varikko","Hämeentie 86","Tavastvägen 86","Helsinki","Helsingfors",20,24.9628231422149,60.1952459460233
"291","Itäkeskus Metrovarikko","Östrä Centrum depå","Itäkeskus Metrovarikko","Metrovarikonkuja 6","Metrodepågränden 6","Helsinki","Helsingfors",16,25.0657818190343,60.2114607347613
"292","Koskelan varikko","Forsby depå","Koskelan varikko","Valtimontie 10","Valtimovägen 10","Helsinki","Helsingfors",16,24.9698571193553,60.2125872907979
"293","Korkeasaari","Högholmen","Korkeasaari","Mustikkamaanpolku 12","Blåbärslandsstigen 12","Helsinki","Helsingfors",16,24.9825269338023,60.1799061320186
"294","Postipuisto","Postipuisto","Postipuisto","Niittylänpolku 16","Ängsskogsstigen 16","Helsinki","Helsingfors",18,24.9337369553808,60.2203012590912
"301","Aurinkotuulenkatu","Solvindsgatan","Aurinkotuulenkatu","Solvikinkatu 21","Solviksgatan 21","Helsinki","Helsingfors",30,25.1593463483962,60.202773395376
"302","Sumukuja","Dimgränden","Sumukuja","Sumukuja 2","Dimgränden 2","Helsinki","Helsingfors",18,25.1584093750563,60.2054467315293
"303","Leikosaarentie","Lekholmsvägen","Leikosaarentie","Leikosaarentie 25","Lekholmsvägen 25","Helsinki","Helsingfors",16,25.1515462608624,60.2046812958719
"304","Aurinkolahdenaukio","Solviksplatsen","Aurinkolahdenaukio","Aurinkoranta 8","Solstranden 8","Helsinki","Helsingfors",24,25.1501135293384,60.2011360782064
"305","Kalkkihiekantie","Kalksandsvägen","Kalkkihiekantie","Kalkkihiekantie 1","Kalksandsvägen 1","Helsinki","Helsingfors",16,25.1430402936212,60.202124196154
"306","Kauppakeskus Columbus","Köpcentrum Columbus","Shopping Center Columbus","Valkopaadentie 1","Vithällsvägen 1","Helsinki","Helsingfors",20,25.1455043565057,60.2063719022092
"315","Vuosaaren liikuntapuisto","Nordsjö idrottspark","Vuosaaren liikuntapuisto","Pallokuja 4","Bollgränden 4","Helsinki","Helsingfors",18,25.1534645734222,60.2122976062757
"308","Mosaiikkitori","Mosaiktorget","Mosaiikkitori","Mosaiikkitori 1","Mosaiktorget 1","Helsinki","Helsingfors",24,25.143852587603,60.2079753561922
"309","Kaivonkatsojanpuisto","Brunnsökarparken","Kaivonkatsojanpuisto","Kaivonkatsojantie 5","Brunnsökarvägen 5","Helsinki","Helsingfors",18,25.1359993335263,60.2044047701442
"310","Halkaisijantie","Klyvarvägen","Halkaisijantie","Halkaisijantie 4","Klyvarvägen 4","Helsinki","Helsingfors",18,25.1279098203443,60.2023869312805
"311","Ramsinniementie","Ramsöuddsvägen","Ramsinniementie","Ramsinniementie 1","Ramsöuddsvägen 1","Helsinki","Helsingfors",18,25.1199060794359,60.1995636503578
"312","Meri-Rastilan tori","Havsrastböletorget","Meri-Rastilan tori","Meri-Rastilan kuja 2","Havsrastbölegränden 2","Helsinki","Helsingfors",16,25.1194224144705,60.2041542257304
"313","Rastila (M)","Rastnöle (M)","Rastila (M)","Karavaanisilta 3","Karavanbron 3","Helsinki","Helsingfors",16,25.1201408621083,60.2055354689175
"314","Lokitie","Loggvägen","Lokitie","Vuosaarentie 1","Nordsjövägen 1","Helsinki","Helsingfors",18,25.1365036011866,60.2095580685415
"316","Punakiventie","Rödstensvägen","Punakiventie","Punakiventie 12","Rödstensvägen 12","Helsinki","Helsingfors",16,25.1467500568672,60.2140014852962
"317","Haapasaarentie","Aspholmsvägen","Haapasaarentie","Marielundinaukio 1","Marielundsplatsen 1","Helsinki","Helsingfors",18,25.146787178183,60.2187766341847
"318","Vuosaaren puistopolku","Nordsjö parkstig","Vuosaaren puistopolku","Mustalahdenpolku 2","Svartviksstigen 2","Helsinki","Helsingfors",14,25.1410953624725,60.221320897051
"319","Purjetie","Segelvägen","Purjetie","Kallvikintie","Kallviksvägen","Helsinki","Helsingfors",18,25.1338286912921,60.2196483224979
"320","Koukkusaarentie","Krokholmsvägen","Koukkusaarentie","Kallvikintie","Kallviksvägen","Helsinki","Helsingfors",16,25.1342325127583,60.213980722047
"321","Vartioharjuntie","Botåsvägen","Vartioharjuntie","Vartioharjuntie 13","Botåsvägen 13","Helsinki","Helsingfors",14,25.110914414719,60.2208894708644
"322","Rukatunturintie","Rukatunturivägen","Rukatunturintie","Mellunmäentie 27","Mellungsbackavägen 27","Helsinki","Helsingfors",14,25.1275969785102,60.2312813452731
